他のより美味しい,他のお店の商品を定期購入していましたが、かなり値上げしたのでこちらを購入。こちらのほうが肉厚で香ばしかったです。最初からこちらにすればよかった。。おまけも嬉しかったです。,633,22
安いのに、こおばしくて美味しい,以前購入したお店のアーモンドは焦げ臭く美味しくありませんでしたが、稲葉商店さんのはこおばしくて美味しいです。ちょっとしたおまけもうれしい。,634,22
品質５★。リピします!!!,アーモンドを食べ続けて5年。アーモンドは値段の変動が多く、購入の都度、いつも悩むなか、稲葉商店さんのアーモンドは、安い上、品質良し、焼き加減良好、風味良し、味も良し、梱包も、送料込みですが、送料込みとは思えない程、丁寧です。しかもアーモンドの袋も、厚手で耐久に優れてる。他の出品者方々とは、違う、ご奉仕感が有るように思います。おまけもついてきます。そのおまけも、たいへん美味しく、ますます、リピしようと思います。アーモンドを毎日食べてる方々へ、是非、オススメしたいです。稲葉商店さんには、アーモンド市場にぶれない安さに、これからも期待を抱いております。,624,68
おまけがついていました。,この値段で、送料込みなら良心的で良いと思います。確認メールや、配送も迅速で好感がもてました。おまけで柿ピーがついていて、味も適度なロースト感で美味しかったです。袋もジッパー式になっていました。,678,29
味、品質、良しでした。,商品の品質が良いです。粒ぞろい、色ムラなし、表皮削れ微量。食感、味も良く甘味やナッツ特有の苦味や渋味も感じられます。値段も送料込み2380円は安い方です。次回購入時もこちらを買おうと思います。,604,12
おまけも付いて大変満足です。,ダイエットにとアーモンドやピーナッツを食べていますがアーモンドはスーパーやコンビニでは高いのでアマゾンで購入することにして評価の高いこちらで購入しました。1kgでこの値段か安いと思います。他の方の評価通り大変満足しています。柿の種のおまけも付いており美味しくいただいています。リピート購入しまし（2回目）1日10粒と決めて妻と2人で食べています。美味しいので本音を言えば沢山食べたいですが我慢です！,173,3
リピーター,リピートします  この大量のボリューム感がたまりませんね  健康のために毎日食べてますので 形が少しくらい欠けてても気になりません  毎日20粒ほど朝晩に分けて食べてます毎回おまけについている柿チョコや大粒ピーナッツも美味しいですが今回はホワイトチョコの柿チョコでしたこれごまた美味しい‼️ぜひ単品で欲しいですアーモンドを食べてからは冬に手指のひび割れがなくなりました 便通も毎日です  肌にツヤも出てカサつきもなくなりました美容と健康に効果があるのを実感できたのでこれからも続けていきます,569,10
美味です,しばらく他社製１ｋｇの品を継続して買ってましたが、最近豆の質が落ちたと感じ、今回はじめてこちらの商品を購入しました。豆のサイズは、若干小ぶりと感じましたが、ローストの加減もちょうど良く味は素晴らしいと思います。次も、こちらの商品を購入するつもりです。あと、おまけで柿の種チョコが同封されてました。,620,10
虫食いが多い。割れたアーモンド、変な味のは要確認,２回ほど購入しましたが、虫食い率が高いです。２つめは半分ほど食べて５～６個あり気持ち悪くて廃棄しました。気付きにくいのですが皮が剥がれて欠けているアーモンドは確認してから食べた方が無難です。割ってみると虫が繭？のようなものを作ってます。,520,17
カリッと香ばしくて美味しいです,おやつがわりに良くアーモンドを食べるので、大きい袋で買ってみました。以前買った別のメーカーのものよりも美味しくて、うれしい驚きでした。カリッと香ばしくて、塩味がなくても、アーモンド自体の味がしっかりしています。届くまで1週間くらい時間がかかったと思いますが、送料無料ですし、美味しいアーモンドのためだったら我慢できる待ち日数でした。,87,3
値上げはきびしい・・・,ずっとリピしてきましたが、1か月のあいだで約500円の値上げはちょっときびしいです。アーモンドに値動きがあるのは分かっていますが、幅が大きすぎましたね。味は良いだけに残念です。,657,16
2回目の注文です。,前回より値上がりしていたので、注文するか否か迷いましたが、価格据え置きより信用できる事と今までお店で購入していた商品よりかなりリーズナブルなので今回も注文しました。気になる所は、今までお店で購入していたアーモンドに比べると豆本来の味が薄く、香りが無いことです。大きさが小ぶりなせいでしょうか？お手頃な価格でも美味しいアーモンドを食べたいので、3回目は他の商品を購入しようと思っています。,458,2
香ばしさがない。香りも。,いくつかのお店のアーモンドを食べましたが、他と比べると袋を開けたとき、そして食べた時の香ばしさが乏しい気がしました。最初湿気ってるのかな？と思いましたが、アーモンド自体は甘みがあり、そういう美味しさはあります。ただ、もうすこし香ばしさが伴うと一番良いアーモンドになると思いました。比較したお店のものは同価格で売られているもので、非常に香ばしいです。ただ、ちょっとパサパサした感じがあるので、なかなか煎り加減も難しいんだろうなあと思った次第です。今後改良される事を期待しての星3です。,539,2
等級は？適正価格は？,全体的に味が薄い上、2個～3個に1個は無味で小粒のものが混じってるので、下位等級のもの又は他生産地のものを混ぜてるのではないかと疑問を思いながらも毎月購入してましたが、今回、大幅に上回る値上げの為（現地で干ばつが有り相場は値上がりしたが、他社は企業努力で自粛してるようです。）、他社製品に変更したところ、旧価格（値上前価格）で粒が揃い、均一して味が良い、他社の製品に変更しました。調べましたところ、仕入れ等級の差らしいですね。上位の等級程、味もしっかりして、粒も揃ってるとのことです。,506,7
安いのに美味しい,以前ほかのお店から購入したものより安いのに香ばしくて美味しいような。小分けのジッパー袋に入れ替えて、おやつ代わりにポリポリ食べています。あとはクリームチーズといっしょに食べたり。おまけの柿チョコもうれしかったです。こちらも買いたくなりました。,634,6
最悪でした！,今まで、素焼きアーモンドを実店舗、ネット…等々で購入して来ましたが、今回ほどショックを受けたのは初めてです！小粒で、割れている粒が異常に多く、これではB級品どころか餌のような状態でした。こんな状態で商品として販売する姿勢には驚きです。これで、他社との比較で販売価格が半値と言うのなら納得も出来ますが…。二度と、このお店では購入しません。,434,10
中国産のおまけなんか、入れてくれるな！,届いた商品を味見してとても気に入った。粒ぞろいでとてもおいしい。しかし、おまけと称してバターピーナッツの袋が入っていた。それが裏の表示を見たら中国産！不愉快の極みである。中国産のものなんか圧倒的大多数の人にとって嬉しいハズはない、と当方は思う。もし、おまけを「くれてやっている」とでも考えるならそれは大間違いだ。おまけこそ、きちんとしたものを提供してこそ意味がある。こんなもので客が喜ぶとでも思っているのだったらとんでもないことだと考える。,97,11
品質のムラ？,2度目の購入です。一回目は比較的粒も大きめで香ばしく、いい買い物をしたと思っていたのですが、今回2回目は、開封した直後でも「湿気ってる？」と言った感じで、やや残念でした。他の方のレビューと照らし合わせると、「概ね品質良し、但したまにムラがある」とゆうことでしょうか…,164,2
ラクダ,他のショップより安くて，量が多いわりに、粒がしっかりしています。１kgの袋でも，チャックがついていましたが、さらに、以前使った事のあるチャック付きの小袋に小分けして保存して湿気の心配せずに食してます。,546,2
リピート商品,同業他社の商品と比較しても価格、品質、配送などが満足できます、数回購入しています。ただ、チャックなしの大袋入りがちょっと残念です、チャック付の袋入りがを希望します。,601,4
糖化防止！,2度めです。粒も揃っていて美味しいし、到着も早いのでとても助かります。梱包もシッカリ丁寧、今回のおまけは、大粒のバターピーナッツでした。有難うごさいます。,573,2
レビューを参考に初めて購入しました。,塩味がついてなくても、充分おいしいです。　皆さんが書いてますが、おまけはちょっとうれしいです。　ついつい食べてしまうので、リピしちゃうかも！！！,543,2
粒は大きく揃っています。,不良品は少なく良質な粒揃いです。味もおいしく、毎日頂いても飽きません。価格がもう少しでも安価なら5★です。,586,2
美味しい,美味しいです！値段も戻り私も再度定期購入に戻りました。高い時は生を炒って繋いでおりました。,144,2
美味しいのですが、食べすぎます。,塩もつかっていないアーモンドが好きでよくスーパーなどで購入するのですが、高くついてしまうのでまとめ買いをしてみようと考え買いました。品質も値段の割にでいえば良いものだと思います。スーパーならグラムあたりが同じ値段だとかなり低品質のものしか手に入りません。ただ問題は私は有れば有るだけ食べてしまう性格なので、あまりコスト削減にはなりませんでした・・・美味しくて常備するとスーパーで買うより高くなってしまいますwなにかの時のご褒美だとかのタイミングでリピしたいです。,531,0
おいしいです。,初めて購入しましたが、しっかり焙煎されていてそのまま食べてもおいしいです。,547,2
よかった,中身が割れてたりするのでもう少し安いとリピートしたくなりますね,608,2
2度目の購入では品質が悪かったです,商品のレビューを見ると、思い当たる節があったので私もレビューすることにしました。初めて購入した時は高評価なのが頷けるほどおいしく、1週間で全部食べてしまいました。そして1か月ほどたち、また食べたくなり再度購入しました。2度目の購入もおいしく食べていましたが、3割ほど食べたところでとても苦いものに当たりました。それはすさまじく苦く、噛んだ時に鼻から抜ける香りが、まるで金魚のエサの匂いでした。さすがにそれは吐き捨てすぐに口をゆすぎましたが、それ以降このアーモンドを食べても同じように苦味を思い出してしまいます。我慢して食べていましたが、また同じような苦いものに当たりました。飲み込めないほどのものは2粒、ちょっと苦味を感じるものは10粒ほどで、全体的には品質はいいんだろうとは思いますが食べるたびに苦くなくても苦かった時の記憶がよみがえるので、いつも恐る恐る食べています。低評価の方のレビューに載っている、アーモンドの皮の状態ですがその苦いものが入っていた袋に入っているアーモンドのうちかなりのアーモンドで皮が剥けており、運搬時や加工時にアーモンド同士がぶつかり合って皮が剥けた可能性もあるのでよく分かりません。ただ、初めて買った時のアーモンドはほとんど皮が剥がれていなかったように思います。たしかに今回買った時は、アーモンドの皮が剥がれているというかアーモンド自体が多少なりともえぐれているものばかりだったので気になっていました。今ちょうど頑張って食べている最中であと少しでなくなるのですが、レビューを見てしまったのでちょっと食べる勇気がなくなりました。もうわずかしか残ってないですし、残りは捨てちゃおうと思います。3回目の購入でまた品質が悪かったら、返品して調べてもらうつもりです。,504,6
3度目の注文でガッカリ,訳あり品の様な品質の悪いものが届きました今までは無かった割れ、欠け、異形などが多数あります　残念です選別したら1/3ほど減りました　もうリピはしません,483,8
おいしい！！,初めての注文で、ドキドキしてましたが、画像の通りの商品でした。粒もきれいに揃っていて味も、止まらなくなるくらいの美味しさでした。スーパーで見かけたのは、量がちょこっとしか入ってなくてめっちゃ高かったのに、稲葉商店さんのはたっぷりでこの値段！以前のことは知りませんが、私は、味、量、値段、ともに大満足です。おまけ付きなのもうれしいです。,222,1
おすすめ‼︎,美味しくて食べ過ぎてしまいます。今までこの価格帯のアーモンドを試しましたが、1番美味しかったです。香ばしく、食べたあとに、苦味？みたいなものもないです。アーモンドの質もよいと思います。もっと高くて美味しいものもあると思いますが、継続して食べたいので、送料込みでの価格は良心的だと思います。おまけも美味しかったです。リピートしたいです。,528,1
小粒、焙煎ムラあり,アーモンドはいつもカルディの実店舗で購入していますが、値上げを機に、値段が安いこちらを試してみました。結果は、いまひとつでした。小粒で、焙煎ムラがあります。なお、2015年9月から500円弱値上げされましたので、カルディの実店舗で購入したほうが安くなりました。以前通り、そちらに戻ります。,476,1
無添加素焼きアーモンド,他のお店のレビューを見ながら、こちらの商品を購入したんですが、アーモンドの粒も綺麗に揃ってジッパー式になっており、何より歯ごたえもカリッとして香ばしく、ほんのりと甘みがありました♡この値段でこの量はかなりお得だと思います。包装も綺麗で良かったです。,152,1
美味しいです。,これまで生アーモンドを購入しローストして食べていたので、ロースト済みでパッケージされたものはあまり美味しいものに出会えたことがなかったのですが、こちらの商品は家でローストしたものと同じくらい美味しいです。今後もこのお値段で頑張っていただけると嬉しいです。,542,1
気に入ってます^o^,こちらのショップは、いつも楽天の方でお世話になっていますが、アマゾンのポイントが貯まったので、アマゾンで注文してみました^ ^美味しいし、梱包も丁寧で発送も迅速だし、言うことありません^o^今回、柿チョコがおまけについてきましたが、これがまた絶品でとても美味しかったです。おまけがいろいろ変わるのが、いつも楽しみです。また注文します！よろしくお願いします^ ^,676,6
